"PUBLISHER","BOOK_COUNT"
Mark Hintz,1
The Sun Dial Press,1
Thomas Nelson Pub,1
Vic Walker Indian Trader,1
Dorset Press,1
Pyramid Book,1
John Wanamaker,1
Great Britian Penguin Books,1
J M Ball,1
Bramhall House,1
Gay Brothers and Co,1
JM Dent & Co,1
Boston and Dana Estes & Co,1
Checkerboard Press,1
Dial Books for Young Readers,1
Castle,1
Keepsake Number 26,1
An Apple Paperback,1
Normark Corporation,1
Playboy Paperbooks,1
Wm Morrow & Co,1
Hutchinson,1
Donald E Colcleaser,1
WW Norton & Co,1
GP Putnams Sons,1
Macmillan of Canada,1
Indiana University Press,1
Hazel Watson and Vinney Alesbury,1
DK Publishing,1
Da Capo Press,1
SAMS Publishing,1
Hammond Inc,1
Berkely Prime Crime,1
Freeman Kerry A,1
Truman Talley,1
Dr Hans Hermann Von Wimpffen,1
Starburst Publishers,1
A Mandarin Paperback,1
The Ballantine Publishing Group,1
Insight Publishing,1
Dellacorte Press,1
Wadsworth Publishing,1
Bedford St Martin,1
Para Publishing,1
MasterTrack International,1
Gift Books,1
Nexera,1
XFM Enterprises,1
Swan Publishing,1
Harry Holt & Co,1
Benjamin Cummings,1
California Military Academy,1
The Black Hills Handbook Co,1
Cox Features,1
Zebra,1
Triangle Books,1
Bilbarra Publishing Co,1
Longman,1
Speedwritng Pub Co Inc,1
Southwestern Publishing Company,1
Duell Sloan and Pearce,1
Ivison Blakeman Taylor & Co,1
The F M Lupton Pub Co,1
F B Dickerson Co,1
Century Mag,1
The Viavi Company,1
Small Maynard and Company,1
Newsweek Books,1
Wimmer Brothers,1
Fawcett Crest Books,1
University of Texas Press,1
G P Putnam & Co,1
New York Institute of Finance,1
Bantam Skylark,1
HP Books,1
Carlos Elmer,1
Harper Keypoint,1
St Marys Medical Center,1
University of Press of Mississippi,1
Twilight,1
John Wiley and Sons,1
Christian Crusade Publications,1
University of Nevada Press,1
Southwestern Assoc On Indian Affairs Inc,1
Walt Disney,1
Naturegraph Publishers,1
Beagle Books,1
DBI Books,1
Wilton Enterprising Inc,1
Four Winds Press,1
Milkweed Editions,1
Readers Digests Association Inc,1
Digest Books Inc,1
Octobus Books,1
Andor Publishing,1
Everyman Ltd,1
Bullseye Books,1
Thomas Nelson Publishers,1
Kensington Publishing Corp,1
SRA McGraw Hill,1
Peachpit Press,1
Chronicle Books,1
Canyon Lands,1
Version is for Windows,1
St Masrtins Press,1
Time Life,1
Beech Tree,1
Franklin Beedle and Assoc,1
Charles Scribner & Sons,1
The Neville Press,1
Grove Press,1
Mission City Press,1
Comicsone,1
Simon Spotlight/Nick Jr,1
RBA Coleccionables,1
American Home Style & Gardening,1
Demos Medical Publishing,1
Kensington,1
Pocket Pulse,1
Intercontinental Publishing,1
Andreews McMeel Publishing,1
Scribner/Simon & Schuster,1
Omnibus,1
Carroll & Graf,1
Nevada Undercover Publishers,1
Renaissance Books,1
Picador,1
Harrry N Abrams Inc,1
Health Science,1
Flynn Fletcher and Lonsdale,1
Mystery Guild,1
Kelloggs,1
Verlag-Ars sacra-Josef Muller-Munchen,1
Vanguard Press Inc,1
Garden City Publishing Co,1
American Thread Co,1
John A Gorman,1
Dunlap Publishers,1
Sourcebooks Inc,1
US Government Printing Off,1
Title Insurance & Trust Co,1
Pyrotex Company Inc,1
The Riverside Press,1
William Sloan Associates,1
The Fairfax Press,1
Lee and Shepard,1
D Appleton and Company,1
ELG Steele,1
Moffat Yard & Company,1
The Bobbs-Merrill Company,1
Ventura Books,1
School Book Fairs Inc,1
CBS College Publishing,1
Jossey-Bass Publishers,1
"1971 KC Publications",1
The Harlequin,1
Steam Press,1
Octopus Books Inc,1
West Publishing Co,1
Saalfield Publishing Company,1
Macmillan Publishers,1
Classic Publishing Corp,1
Superior Publishing Company,1
Peter Maas and Tsampa Company Inc,1
Institute of Social Economic and Government Research of Alaska,1
Fitzhenry & Whiteside,1
Coeur De Lion Books,1
Herr House,1
Laurel Creek Press,1
Multnomah Publishers,1
High Performance Athletics,1
Headline Feature,1
Magination Press,1
Cimarron Mgt Corp,1
Rose Marie L Bukics,1
IDG Books World Wide Inc,1
Sunflower University Press,1
M Evans & Company Inc,1
Execu-Press,1
Shooting Star Press,1
Heritage Foundation,1
Mega Books,1
Dalmatian Press,1
A Jeremy P Tarcher/Putnam Book,1
Candlewick Books,1
H J Kramer,1
World Publishing,1
Focus on the Family,1
Morris Publishing,1
Henry Holt and Co,1
Family Library Inc,1
Aurum Press,1
